Epoch: 130 	Total: 187.3226 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5776
Epoch: 131 	Total: 187.0488 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5501
Epoch: 132 	Total: 187.2365 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6009
Epoch: 133 	Total: 187.5672 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5602
Epoch: 134 	Total: 187.1038 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6443
Epoch: 135 	Total: 187.2641 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6034
Epoch: 136 	Total: 187.4787 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5724
Epoch: 137 	Total: 187.1806 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5625
Epoch: 138 	Total: 187.0080 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5585
Epoch: 139 	Total: 187.3578 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6482
Epoch: 140 	Total: 187.4230 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5625
Epoch: 141 	Total: 187.2052 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5844
Epoch: 142 	Total: 187.0756 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5196
Epoch: 143 	Total: 187.0753 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5685
Epoch: 144 	Total: 187.2232 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6622
Epoch: 145 	Total: 187.4675 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6891
Epoch: 146 	Total: 187.1303 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.4877
Epoch: 147 	Total: 187.1673 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5582
Epoch: 148 	Total: 187.3854 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5609
Epoch: 149 	Total: 187.3336 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5597
Epoch: 150 	Total: 187.2878 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6021
Epoch: 151 	Total: 187.2442 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5737
Epoch: 152 	Total: 187.0549 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5427
Epoch: 153 	Total: 187.0495 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.4793
Epoch: 154 	Total: 187.1458 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5794
Epoch: 155 	Total: 187.1621 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6004
Epoch: 156 	Total: 187.4189 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5864
Epoch: 157 	Total: 187.0709 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5545
Epoch: 158 	Total: 187.3280 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5056
Epoch: 159 	Total: 187.1625 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5425
Epoch: 160 	Total: 186.9900 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6293
Epoch: 161 	Total: 187.3090 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5535
Epoch: 162 	Total: 187.0823 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6354
Epoch: 163 	Total: 187.2433 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5591
Epoch: 164 	Total: 187.2811 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6101
Epoch: 165 	Total: 187.0669 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5555
Epoch: 166 	Total: 187.6178 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6156
Epoch: 167 	Total: 187.4329 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5897
Epoch: 168 	Total: 187.4401 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5041
Epoch: 169 	Total: 187.3970 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5527
Epoch: 170 	Total: 187.2010 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6109
Epoch: 171 	Total: 187.2291 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5802
Epoch: 172 	Total: 187.3697 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5738
Epoch: 173 	Total: 186.9706 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6273
Epoch: 174 	Total: 187.5660 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.4857
Epoch: 175 	Total: 187.2693 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5226
Epoch: 176 	Total: 187.6774 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6447
Epoch: 177 	Total: 187.1235 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.5692
Epoch: 178 	Total: 187.2409 	Reconstruction Precision: 0.0964 	Reconstruction Recall: 1.0000 	Time: 3.6430
